Country,Date,Confirmed
Italy,4/5/20,128948
Italy,4/6/20,132547
Italy,4/7/20,135586
Italy,4/8/20,139422
Italy,4/9/20,143626
Italy,4/10/20,147577
Italy,4/11/20,152271
Italy,4/12/20,156363
Italy,4/13/20,159516
Italy,4/14/20,162488
Italy,4/15/20,165155
Italy,4/16/20,168941
Italy,4/17/20,172434
Italy,4/18/20,175925
Italy,4/19/20,178972
Italy,4/20/20,181228
Italy,4/21/20,183957
Italy,4/22/20,187327
Italy,4/23/20,189973
Italy,4/24/20,192994
Italy,4/25/20,195351
Italy,4/26/20,197675
Italy,4/27/20,199414
Italy,4/28/20,201505
Italy,4/29/20,203591
Italy,4/30/20,205463
Italy,5/1/20,207428
US,4/1/20,213242
US,4/2/20,243622
US,4/3/20,275367
US,4/4/20,308650
US,4/5/20,336802
US,4/6/20,366317
US,4/7/20,397121
US,4/8/20,428654
US,4/9/20,462780
US,4/10/20,496535
US,4/11/20,526396
US,4/12/20,555313
US,4/13/20,580619
US,4/14/20,607670
US,4/15/20,636350
US,4/16/20,667592
US,4/17/20,699706
US,4/18/20,732197
US,4/19/20,758809
US,4/20/20,784326
US,4/21/20,811865
US,4/22/20,840351
US,4/23/20,869170
US,4/24/20,905358
US,4/25/20,938154
US,4/26/20,965785
US,4/27/20,988197
US,4/28/20,1012582
US,4/29/20,1039909
US,4/30/20,1069424
US,5/1/20,1103461
Vietnam,4/1/20,218
Vietnam,4/2/20,233
Vietnam,4/3/20,237
Vietnam,4/4/20,240
Vietnam,4/5/20,241
Vietnam,4/6/20,245
Vietnam,4/7/20,249
Vietnam,4/8/20,251
Vietnam,4/9/20,255
Vietnam,4/10/20,257
Vietnam,4/11/20,258
Vietnam,4/12/20,262
Vietnam,4/13/20,265
Vietnam,4/14/20,266
Vietnam,4/15/20,267
Vietnam,4/16/20,268
Vietnam,4/17/20,268
Vietnam,4/18/20,268
Vietnam,4/19/20,268
Vietnam,4/20/20,268
Vietnam,4/21/20,268
Vietnam,4/22/20,268
Vietnam,4/23/20,268
Vietnam,4/24/20,270
Vietnam,4/25/20,270
Vietnam,4/26/20,270
Vietnam,4/27/20,270
Vietnam,4/28/20,270
Vietnam,4/29/20,270
Vietnam,4/30/20,270
Vietnam,5/1/20,270
France,4/1/20,0
France,4/2/20,0
France,4/3/20,0
France,4/4/20,0
France,4/5/20,1
